name	group	strand	number_of_isoforms	isoforms	number_of_isoforms_with_annotated_domain	isoforms_with_annotated_domain	longest_isoform_with_annotated_domain	number_of_exon_for_longest_isoform_with_annotated_domain	domain_position_on_longest_isoform_with_annotated_domain	domain_position_on_longest_isoform_with_annotated_domain_percentage	DIFF	EXPR	number_of_assays
PAK7	STE	-	4	"uc002wnj.2;uc002wnk.2;uc002wnl.2;uc010gby.1"	4	"uc002wnj.2;uc002wnk.2;uc002wnl.2;uc010gby.1"	"uc002wnj.2;uc002wnl.2"	11	exons-6-11	start-50%-end-100%	yes	yes	2
PAN3	OTHER	+	4	"uc001urx.3;uc001ury.3;uc001urz.3;uc010tdo.1"	4	"uc001urx.3;uc001ury.3;uc001urz.3;uc010tdo.1"	"uc001ury.3;uc001urz.3"	19	exons-9-17	start-44%-end-89%	yes	yes	2
PASK	CAMK	-	8	"uc002wao.2;uc002wap.3;uc002waq.3;uc010fzl.2;uc010zol.2;uc010zom.2;uc010zon.2;uc021vzf.1"	8	"uc002wao.2;uc002wap.3;uc002waq.3;uc010fzl.2;uc010zol.2;uc010zom.2;uc010zon.2;uc021vzf.1"	uc021vzf.1	19	exons-12-19	start-61%-end-100%	yes	yes	3
PBK	OTHER	-	2	"uc003xgi.3;uc011lap.2"	2	"uc003xgi.3;uc011lap.2"	"uc003xgi.3;uc011lap.2"	8	exons-2-8	start-14%-end-100%	no	yes	1
PDGFRA	RTK	+	6	"uc003haa.3;uc003hal.3;uc003ham.2;uc003han.4;uc003hao.1;uc010igq.1"	4	"uc003haa.3;uc003han.4;uc003hao.1;uc010igq.1"	uc003haa.3	24	exons-12-23	start-48%-end-96%	yes	yes	3
PDGFRB	RTK	-	3	"uc003lro.3;uc010jhd.3;uc011dcg.1"	2	"uc003lro.3;uc010jhd.3"	"uc003lro.3;uc010jhd.3"	23	exons-12-23	start-50%-end-100%	yes	yes	2
PDIK1L	OTHER	+	3	"uc001blj.4;uc009vsb.3;uc010oew.2"	3	"uc001blj.4;uc009vsb.3;uc010oew.2"	uc001blj.4	4	exons-3-4	start-67%-end-100%	no	yes	1
PDK1	ATYPICAL	+	5	"uc002uhq.1;uc002uhs.3;uc010zdz.1;uc010zea.1;uc010zeb.2"	0	n.a.	n.a.	n.a.	n.a.	n.a.	no	yes	1
PDK2	ATYPICAL	+	4	"uc002iqb.3;uc002iqc.3;uc021tzw.1;uc021tzx.1"	0	n.a.	n.a.	n.a.	n.a.	n.a.	no	yes	1
PDK3	ATYPICAL	+	2	"uc004dbg.3;uc004dbh.3"	0	n.a.	n.a.	n.a.	n.a.	n.a.	no	yes	1
PDK4	ATYPICAL	-	2	"uc003unz.3;uc003uoa.3"	0	n.a.	n.a.	n.a.	n.a.	n.a.	no	yes	1
PDPK1	AGC	+	7	"uc002cqs.4;uc002cqt.4;uc002cqu.4;uc002cqv.1;uc002cqz.1;uc010bsn.4;uc010uwe.2"	7	"uc002cqs.4;uc002cqt.4;uc002cqu.4;uc002cqv.1;uc002cqz.1;uc010bsn.4;uc010uwe.2"	"uc002cqs.4;uc002cqu.4"	14	exons-2-11	start-8%-end-77%	no	yes	1
PEAK1	OTHER	-	2	"uc002bcn.2;uc021sqy.1"	1	uc021sqy.1	uc021sqy.1	8	exons-7-8	start-86%-end-100%	yes	yes	2
PHKG1	CAMK	-	5	"uc003try.2;uc003trz.2;uc011kdb.2;uc011kdc.2;uc011kdd.2"	5	"uc003try.2;uc003trz.2;uc011kdb.2;uc011kdc.2;uc011kdd.2"	uc011kdb.2	11	exons-2-11	start-10%-end-100%	yes	yes	3
PHKG2	CAMK	+	3	"uc002dzk.2;uc002dzl.1;uc021tgo.1"	3	"uc002dzk.2;uc002dzl.1;uc021tgo.1"	"uc002dzk.2;uc021tgo.1"	11	exons-2-10	start-10%-end-90%	no	yes	1
PIK3R4	OTHER	-	1	uc003enj.3	1	uc003enj.3	uc003enj.3	20	exons-2-4	start-5%-end-16%	yes	yes	2
PIM1	CAMK	+	2	"uc003onk.3;uc011dtw.2"	1	uc003onk.3	uc003onk.3	6	exons-1-6	start-0%-end-100%	yes	yes	2
PIM2	CAMK	-	1	uc004dls.3	1	uc004dls.3	uc004dls.3	6	exons-1-6	start-0%-end-100%	no	yes	1
PIM3	CAMK	+	2	"uc003bjb.3;uc011arj.2"	2	"uc003bjb.3;uc011arj.2"	uc003bjb.3	6	exons-1-6	start-0%-end-100%	no	yes	1
PINK1	OTHER	+	2	"uc001bdm.3;uc001bdn.3"	2	"uc001bdm.3;uc001bdn.3"	uc001bdm.3	8	exons-1-8	start-0%-end-100%	no	yes	1
PKDCC	OTHER	+	1	uc002rsg.3	1	uc002rsg.3	uc002rsg.3	7	exons-1-3	start-0%-end-33%	yes	yes	2
PKMYT1	OTHER	-	6	"uc002csm.3;uc002csn.3;uc002cso.3;uc002csq.3;uc010bsy.1;uc010uwn.2"	5	"uc002csm.3;uc002csn.3;uc002cso.3;uc002csq.3;uc010bsy.1"	"uc002csm.3;uc002csn.3;uc002cso.3;uc002csq.3"	9	exons-3-8	start-25%-end-88%	no	yes	1
PKN1	AGC	+	2	"uc002myp.3;uc002myq.3"	2	"uc002myp.3;uc002myq.3"	"uc002myp.3;uc002myq.3"	22	exons-12-22	start-52%-end-100%	yes	yes	2
PKN2	AGC	+	5	"uc001dmn.3;uc009wcv.3;uc010osp.2;uc010osq.2;uc010osr.2"	5	"uc001dmn.3;uc009wcv.3;uc010osp.2;uc010osq.2;uc010osr.2"	"uc001dmn.3;uc010osp.2"	22	exons-13-22	start-57%-end-100%	yes	yes	2
PKN3	AGC	+	3	"uc004bvw.3;uc010myh.3;uc022bom.1"	2	"uc004bvw.3;uc010myh.3"	"uc004bvw.3;uc010myh.3"	22	exons-12-22	start-52%-end-100%	yes	yes	2
PLK1	OTHER	+	1	uc002dlz.1	1	uc002dlz.1	uc002dlz.1	10	exons-1-7	start-0%-end-67%	yes	yes	2
PLK2	OTHER	-	3	"uc003jrn.3;uc011cql.1;uc021xyx.1"	3	"uc003jrn.3;uc011cql.1;uc021xyx.1"	uc021xyx.1	15	exons-1-11	start-0%-end-71%	yes	yes	3
PLK3	OTHER	+	1	uc001cmn.3	1	uc001cmn.3	uc001cmn.3	15	exons-1-10	start-0%-end-64%	yes	yes	2
PLK4	OTHER	+	3	"uc003ifo.3;uc011cgs.2;uc011cgt.2"	3	"uc003ifo.3;uc011cgs.2;uc011cgt.2"	"uc003ifo.3;uc011cgt.2"	16	exons-1-14	start-0%-end-87%	yes	yes	2
PLK5	OTHER	+	3	"uc002ltf.3;uc002ltg.1;uc010dsm.1"	3	"uc002ltf.3;uc002ltg.1;uc010dsm.1"	uc002ltf.3	14	exons-6-10	start-38%-end-69%	yes	yes	2
PNCK	CAMK	-	6	"uc004fhz.4;uc010nuh.2;uc011myt.2;uc011myu.2;uc011myv.2;uc011myw.2"	6	"uc004fhz.4;uc010nuh.2;uc011myt.2;uc011myu.2;uc011myv.2;uc011myw.2"	"uc011myt.2;uc011myu.2"	12	exons-1-11	start-0%-end-91%	no	yes	1
POMK	OTHER	+	2	"uc003xpw.3;uc031taz.1"	2	"uc003xpw.3;uc031taz.1"	uc003xpw.3	5	exons-4-5	start-75%-end-100%	yes	yes	2
PRKAA1	CAMK	-	2	"uc003jmb.3;uc003jmc.3"	2	"uc003jmb.3;uc003jmc.3"	uc003jmb.3	10	exons-1-10	start-0%-end-100%	no	yes	1
PRKAA2	CAMK	+	3	"uc001cyk.4;uc031pmr.1;uc031pms.1"	3	"uc001cyk.4;uc031pmr.1;uc031pms.1"	uc001cyk.4	9	exons-1-7	start-0%-end-75%	yes	yes	2
PRKACA	AGC	-	4	"uc002myb.3;uc002myc.3;uc002myd.3;uc010xnm.1"	4	"uc002myb.3;uc002myc.3;uc002myd.3;uc010xnm.1"	"uc002myb.3;uc002myc.3"	10	exons-1-10	start-0%-end-100%	yes	yes	2
PRKACB	AGC	+	11	"uc001dji.3;uc001djj.3;uc001djl.3;uc001djn.3;uc001djo.2;uc001djp.3;uc001djq.3;uc009wcf.2;uc010ort.2;uc010oru.2;uc010orv.2"	10	"uc001dji.3;uc001djj.3;uc001djl.3;uc001djn.3;uc001djp.3;uc001djq.3;uc009wcf.2;uc010ort.2;uc010oru.2;uc010orv.2"	"uc001djp.3;uc010ort.2"	13	exons-1-13	start-0%-end-100%	no	yes	1
PRKACG	AGC	-	1	uc004agy.3	1	uc004agy.3	uc004agy.3	1	exons-1-1	start-0%-end-100%	no	yes	1
PRKAG1	OTHER	-	4	"uc001rsy.3;uc001rsz.3;uc010smd.2;uc010sme.2"	0	n.a.	n.a.	n.a.	n.a.	n.a.	no	yes	1
PRKCA	AGC	+	2	"uc002jfo.1;uc002jfp.1"	2	"uc002jfo.1;uc002jfp.1"	uc002jfp.1	17	exons-8-17	start-44%-end-100%	yes	yes	2
PRKCB	AGC	+	2	"uc002dmd.3;uc002dme.3"	2	"uc002dmd.3;uc002dme.3"	"uc002dmd.3;uc002dme.3"	17	exons-8-17	start-44%-end-100%	yes	yes	2
PRKCD	AGC	+	4	"uc003dgl.3;uc003dgm.3;uc003dgn.2;uc010hmt.1"	2	"uc003dgl.3;uc003dgm.3"	uc003dgl.3	19	exons-11-19	start-56%-end-100%	yes	yes	2
PRKCE	AGC	+	2	"uc002rut.3;uc002ruu.3"	1	uc002rut.3	uc002rut.3	15	exons-9-15	start-57%-end-100%	yes	yes	2
PRKCG	AGC	+	5	"uc002qcq.1;uc010eqz.1;uc010yef.1;uc010yeg.1;uc010yeh.1"	3	"uc002qcq.1;uc010yeg.1;uc010yeh.1"	uc010yeg.1	19	exons-9-19	start-44%-end-100%	yes	yes	2
PRKCH	AGC	+	4	"uc001xfn.3;uc001xfo.3;uc010tsa.2;uc010tsb.2"	3	"uc001xfn.3;uc010tsa.2;uc010tsb.2"	uc001xfn.3	14	exons-7-14	start-46%-end-100%	yes	yes	3
PRKCI	AGC	+	2	"uc003fgs.2;uc003fgt.2"	2	"uc003fgs.2;uc003fgt.2"	uc003fgs.2	18	exons-7-18	start-35%-end-100%	yes	yes	3
PRKCQ	AGC	-	5	"uc001iji.1;uc001ijj.2;uc009xim.2;uc009xin.2;uc010qax.2"	5	"uc001iji.1;uc001ijj.2;uc009xim.2;uc009xin.2;uc010qax.2"	"uc001ijj.2;uc009xin.2"	18	exons-11-18	start-59%-end-100%	yes	yes	2
PRKCZ	AGC	+	7	"uc001aiq.3;uc001air.3;uc001ais.3;uc001ait.3;uc009vlb.3;uc010nyw.2;uc010nyx.2"	6	"uc001aiq.3;uc001air.3;uc001ais.3;uc001ait.3;uc009vlb.3;uc010nyw.2"	uc001aiq.3	18	exons-8-18	start-41%-end-100%	no	yes	1
PRKD1	CAMK	-	1	uc001wqh.3	1	uc001wqh.3	uc001wqh.3	18	exons-10-18	start-53%-end-100%	yes	yes	2
PRKD2	CAMK	-	8	"uc002pfg.3;uc002pfh.3;uc002pfi.3;uc002pfj.3;uc002pfk.3;uc010eks.3;uc010ekt.3;uc010xye.2"	8	"uc002pfg.3;uc002pfh.3;uc002pfi.3;uc002pfj.3;uc002pfk.3;uc010eks.3;uc010ekt.3;uc010xye.2"	"uc002pfh.3;uc002pfi.3;uc002pfk.3;uc010xye.2"	19	exons-11-19	start-56%-end-100%	no	yes	1
PRKD3	CAMK	-	3	"uc002rqd.3;uc002rqe.1;uc002rqf.1"	2	"uc002rqd.3;uc002rqe.1"	uc002rqd.3	18	exons-10-18	start-53%-end-100%	yes	yes	2
PRKDC	ATYPICAL	-	2	"uc003xqi.3;uc003xqj.3"	2	"uc003xqi.3;uc003xqj.3"	uc003xqi.3	87	exons-78-86	start-90%-end-99%	yes	yes	2
PRKG1	AGC	+	5	"uc001jjm.3;uc001jjn.2;uc001jjo.3;uc009xow.2;uc010qhp.2"	3	"uc001jjm.3;uc001jjo.3;uc009xow.2"	"uc001jjm.3;uc001jjo.3"	18	exons-9-18	start-47%-end-100%	yes	yes	2
PRKG2	AGC	-	4	"uc003hmh.2;uc011ccf.1;uc011ccg.1;uc011cch.1"	4	"uc003hmh.2;uc011ccf.1;uc011ccg.1;uc011cch.1"	uc011cch.1	19	exons-10-19	start-50%-end-100%	yes	yes	2
PRKX	AGC	-	1	uc010nde.3	1	uc010nde.3	uc010nde.3	9	exons-1-8	start-0%-end-88%	yes	yes	2
PRKY	AGC	+	1	uc004fre.3	0	n.a.	n.a.	n.a.	n.a.	n.a.	no	yes	1
PRPF4B	CMGC	+	3	"uc003mvv.3;uc003mvw.3;uc011dhv.1"	1	uc003mvv.3	uc003mvv.3	15	exons-8-15	start-50%-end-100%	yes	yes	2
PSKH1	CAMK	+	2	"uc002euv.3;uc010cet.2"	2	"uc002euv.3;uc010cet.2"	uc002euv.3	3	exons-2-3	start-50%-end-100%	no	yes	1
PSKH2	CAMK	-	1	uc011lfy.2	1	uc011lfy.2	uc011lfy.2	3	exons-1-3	start-0%-end-100%	no	yes	1
PTK2	NRTK	-	11	"uc003yvo.3;uc003yvp.3;uc003yvq.3;uc003yvr.3;uc003yvs.3;uc003yvt.3;uc003yvu.3;uc003yvv.3;uc011ljp.2;uc011ljq.2;uc011ljr.2"	10	"uc003yvo.3;uc003yvp.3;uc003yvq.3;uc003yvr.3;uc003yvs.3;uc003yvt.3;uc003yvu.3;uc003yvv.3;uc011ljq.2;uc011ljr.2"	"uc003yvr.3;uc003yvv.3;uc011ljr.2"	33	exons-13-25	start-38%-end-75%	yes	yes	2
PTK2B	NRTK	+	7	"uc003xfn.2;uc003xfp.2;uc003xfq.2;uc003xfr.1;uc003xfs.1;uc010luq.1;uc022ate.1"	5	"uc003xfn.2;uc003xfp.2;uc003xfq.2;uc003xfr.1;uc022ate.1"	uc003xfn.2	36	exons-18-30	start-49%-end-83%	yes	yes	2
PTK6	NRTK	-	4	"uc002yfg.4;uc011aay.3;uc011aaz.1;uc011aba.3"	2	"uc002yfg.4;uc011aaz.1"	uc002yfg.4	8	exons-3-8	start-29%-end-100%	no	yes	1
PTK7	RTK	+	9	"uc003oua.4;uc003oub.2;uc003ouc.2;uc003oud.2;uc003oue.2;uc003ouf.2;uc003oug.2;uc010jyj.2;uc011dve.2"	6	"uc003oub.2;uc003ouc.2;uc003oud.2;uc003oue.2;uc010jyj.2;uc011dve.2"	"uc003oub.2;uc011dve.2"	20	exons-15-20	start-74%-end-100%	no	yes	1
PXK	OTHER	+	9	"uc003djx.1;uc003djz.1;uc003dka.1;uc003dkb.1;uc003dkc.1;uc003dkd.1;uc010hnj.1;uc010hnk.1;uc011bfe.1"	9	"uc003djx.1;uc003djz.1;uc003dka.1;uc003dkb.1;uc003dkc.1;uc003dkd.1;uc010hnj.1;uc010hnk.1;uc011bfe.1"	uc003dka.1	19	exons-6-17	start-28%-end-89%	yes	yes	3
RAF1	TKL	-	3	"uc003bxf.4;uc011aut.2;uc011auu.2"	3	"uc003bxf.4;uc011aut.2;uc011auu.2"	uc003bxf.4	17	exons-9-17	start-50%-end-100%	yes	yes	2
RET	RTK	+	3	"uc001jak.1;uc001jal.3;uc010qez.1"	3	"uc001jak.1;uc001jal.3;uc010qez.1"	uc001jal.3	20	exons-11-20	start-53%-end-100%	yes	yes	2
RIOK1	ATYPICAL	+	3	"uc003mxm.1;uc003mxn.3;uc003mxo.3"	3	"uc003mxm.1;uc003mxn.3;uc003mxo.3"	uc003mxn.3	17	exons-6-12	start-31%-end-69%	yes	yes	2
RIOK2	ATYPICAL	-	2	"uc003kmz.3;uc003kna.3"	2	"uc003kmz.3;uc003kna.3"	uc003kmz.3	10	exons-3-7	start-22%-end-67%	yes	yes	2
RIOK3	ATYPICAL	+	4	"uc002kui.4;uc010dls.3;uc010xas.2;uc010xat.2"	4	"uc002kui.4;uc010dls.3;uc010xas.2;uc010xat.2"	"uc002kui.4;uc010dls.3;uc010xas.2"	13	exons-7-12	start-50%-end-92%	yes	yes	2
RIPK1	TKL	+	4	"uc003muv.4;uc003mux.3;uc010jni.3;uc011dhs.2"	4	"uc003muv.4;uc003mux.3;uc010jni.3;uc011dhs.2"	uc003muv.4	13	exons-7-11	start-50%-end-83%	yes	yes	2
RIPK2	TKL	+	2	"uc003yee.3;uc003yef.3"	2	"uc003yee.3;uc003yef.3"	uc003yee.3	11	exons-1-10	start-0%-end-90%	no	yes	1
RIPK3	TKL	-	5	"uc001wpa.3;uc001wpb.3;uc010alq.3;uc010toi.2;uc010toj.1"	2	"uc001wpb.3;uc010toj.1"	uc001wpb.3	10	exons-1-9	start-0%-end-89%	yes	yes	3
RIPK4	TKL	-	1	uc002yzn.1	1	uc002yzn.1	uc002yzn.1	8	exons-1-7	start-0%-end-86%	no	yes	1
RNASEL	OTHER	-	3	"uc001gpk.3;uc009wxz.2;uc009wya.1"	3	"uc001gpk.3;uc009wxz.2;uc009wya.1"	uc009wxz.2	7	exons-2-6	start-17%-end-83%	no	yes	1
ROCK1	AGC	-	1	uc002kte.3	1	uc002kte.3	uc002kte.3	33	exons-2-12	start-3%-end-34%	yes	yes	2
ROCK2	AGC	-	1	uc002rbd.1	1	uc002rbd.1	uc002rbd.1	33	exons-2-10	start-3%-end-28%	yes	yes	2
ROR1	RTK	+	2	"uc001dbi.4;uc001dbj.3"	1	uc001dbj.3	uc001dbj.3	9	exons-8-9	start-88%-end-100%	yes	yes	2
ROR2	RTK	-	3	"uc004ari.1;uc004arj.2;uc004ark.3"	2	"uc004ari.1;uc004arj.2"	uc004ari.1	13	exons-8-11	start-58%-end-83%	yes	yes	2
ROS1	RTK	-	2	"uc003pxp.1;uc011ebi.1"	1	uc003pxp.1	uc003pxp.1	43	exons-35-43	start-81%-end-100%	yes	yes	2
RPS6KA1	AGC	+	5	"uc001bmr.1;uc001bms.1;uc009vsl.1;uc010ofe.1;uc010off.1"	5	"uc001bmr.1;uc001bms.1;uc009vsl.1;uc010ofe.1;uc010off.1"	"uc001bmr.1;uc009vsl.1"	22	exons-2-22	start-5%-end-100%	no	yes	1
RPS6KA2	AGC	-	6	"uc003qvb.1;uc003qvc.1;uc003qvd.1;uc010kkk.1;uc010kkl.1;uc011ego.1"	6	"uc003qvb.1;uc003qvc.1;uc003qvd.1;uc010kkk.1;uc010kkl.1;uc011ego.1"	uc003qvd.1	23	exons-3-23	start-9%-end-100%	no	yes	1
RPS6KA3	AGC	-	5	"uc004czu.3;uc004czv.3;uc011mjk.2;uc011mjl.2;uc011mjm.2"	5	"uc004czu.3;uc004czv.3;uc011mjk.2;uc011mjl.2;uc011mjm.2"	uc011mjl.2	24	exons-4-24	start-13%-end-100%	no	yes	1
RPS6KA4	AGC	+	5	"uc001oad.3;uc001oae.3;uc001oaf.3;uc009ypp.3;uc010rnl.2"	5	"uc001oad.3;uc001oae.3;uc001oaf.3;uc009ypp.3;uc010rnl.2"	"uc001oad.3;uc001oae.3;uc001oaf.3;uc010rnl.2"	17	exons-1-17	start-0%-end-100%	no	yes	1
RPS6KA5	AGC	-	4	"uc001xys.2;uc001xyt.3;uc010att.1;uc010twi.1"	3	"uc001xys.2;uc001xyt.3;uc010twi.1"	"uc001xys.2;uc010twi.1"	17	exons-1-17	start-0%-end-100%	no	yes	1
RPS6KA6	AGC	-	4	"uc004eej.2;uc010nmo.1;uc011mqt.2;uc011mqu.2"	3	"uc004eej.2;uc011mqt.2;uc011mqu.2"	uc011mqt.2	24	exons-4-24	start-13%-end-100%	no	yes	1
RPS6KB1	AGC	+	5	"uc002ixy.4;uc010ddj.3;uc010wom.3;uc010won.3;uc010woo.2"	5	"uc002ixy.4;uc010ddj.3;uc010wom.3;uc010won.3;uc010woo.2"	uc010wom.3	16	exons-3-16	start-13%-end-100%	no	yes	1
RPS6KB2	AGC	+	2	"uc001old.3;uc021qmi.1"	2	"uc001old.3;uc021qmi.1"	uc001old.3	15	exons-2-15	start-7%-end-100%	no	yes	1
RPS6KC1	AGC	+	9	"uc001hkd.3;uc001hke.3;uc009xdh.3;uc009xdi.1;uc010ptr.2;uc010pts.2;uc010ptt.2;uc010ptu.2;uc010ptv.2"	7	"uc001hkd.3;uc001hke.3;uc010ptr.2;uc010pts.2;uc010ptt.2;uc010ptu.2;uc010ptv.2"	"uc010ptr.2;uc010pts.2;uc010ptt.2"	15	exons-8-15	start-50%-end-100%	yes	yes	2
RPS6KL1	AGC	-	4	"uc001xqx.1;uc001xqy.1;uc010asd.2;uc010tux.2"	2	"uc001xqx.1;uc010tux.2"	uc010tux.2	11	exons-3-11	start-20%-end-100%	yes	yes	2
RYK	RTK	-	2	"uc003eqc.1;uc003eqd.1"	2	"uc003eqc.1;uc003eqd.1"	"uc003eqc.1;uc003eqd.1"	16	exons-5-9	start-33%-end-53%	yes	yes	2
SBK1	OTHER	+	1	uc002dpd.3	1	uc002dpd.3	uc002dpd.3	4	exons-2-4	start-33%-end-100%	yes	yes	2
SBK2	OTHER	-	1	uc010ygc.2	1	uc010ygc.2	uc010ygc.2	4	exons-2-4	start-33%-end-100%	no	yes	1
SBK3	OTHER	-	1	uc021vbx.1	1	uc021vbx.1	uc021vbx.1	5	exons-1-5	start-0%-end-100%	no	yes	1
SCYL1	OTHER	+	5	"uc001oea.1;uc001oeb.1;uc001oec.1;uc001oee.1;uc009yqk.3"	4	"uc001oea.1;uc001oeb.1;uc001oec.1;uc009yqk.3"	"uc001oea.1;uc001oeb.1;uc001oec.1"	18	exons-1-7	start-0%-end-35%	yes	yes	2
SCYL2	OTHER	+	3	"uc001thm.1;uc001thn.3;uc009ztw.1"	3	"uc001thm.1;uc001thn.3;uc009ztw.1"	uc001thn.3	18	exons-2-18	start-6%-end-100%	no	yes	1
SCYL3	OTHER	-	3	"uc001ggs.3;uc001ggt.3;uc010plw.2"	2	"uc001ggs.3;uc001ggt.3"	uc001ggs.3	14	exons-2-10	start-8%-end-69%	yes	yes	2
SGK1	AGC	-	7	"uc003qen.4;uc003qeo.4;uc003qep.3;uc011ect.2;uc011ecu.2;uc011ecv.2;uc011ecw.2"	6	"uc003qen.4;uc003qeo.4;uc011ect.2;uc011ecu.2;uc011ecv.2;uc011ecw.2"	uc003qeo.4	14	exons-5-14	start-31%-end-100%	no	yes	1
SGK2	AGC	+	6	"uc002xkq.1;uc002xkr.3;uc002xkt.3;uc002xku.3;uc002xkv.3;uc010ggm.3"	5	"uc002xkq.1;uc002xkr.3;uc002xku.3;uc002xkv.3;uc010ggm.3"	uc010ggm.3	14	exons-2-13	start-8%-end-92%	no	yes	1
SGK223	OTHER	-	1	uc003wsh.4	1	uc003wsh.4	uc003wsh.4	5	exons-5-5	start-100%-end-100%	yes	yes	2
SGK3	AGC	+	3	"uc003xwr.3;uc003xwt.3;uc003xwu.3"	3	"uc003xwr.3;uc003xwt.3;uc003xwu.3"	"uc003xwr.3;uc003xwt.3"	17	exons-6-17	start-31%-end-100%	no	yes	1
SGK494	CAMK	-	4	"uc010crq.2;uc010waq.1;uc010war.1;uc021ttt.1"	3	"uc010crq.2;uc010waq.1;uc021ttt.1"	uc010crq.2	12	exons-2-12	start-9%-end-100%	no	yes	1
SIK1	CAMK	-	1	uc002zdf.2	1	uc002zdf.2	uc002zdf.2	14	exons-2-11	start-8%-end-77%	yes	yes	2
SIK2	CAMK	+	1	uc001plt.3	1	uc001plt.3	uc001plt.3	15	exons-1-15	start-0%-end-100%	no	yes	1
SIK3	CAMK	-	6	"uc001ppw.3;uc001ppx.3;uc001ppy.3;uc001ppz.3;uc001pqa.3;uc001pqb.3"	3	"uc001ppy.3;uc001ppz.3;uc001pqa.3"	uc001ppz.3	25	exons-5-20	start-17%-end-79%	yes	yes	2
SLK	STE	+	2	"uc001kxo.1;uc001kxp.1"	2	"uc001kxo.1;uc001kxp.1"	uc001kxo.1	19	exons-1-19	start-0%-end-100%	no	yes	1
SMG1	ATYPICAL	-	4	"uc002dfm.3;uc010bwa.3;uc010bwb.3;uc021ted.1"	4	"uc002dfm.3;uc010bwa.3;uc010bwb.3;uc021ted.1"	uc002dfm.3	63	exons-39-46	start-61%-end-73%	yes	yes	2
SNRK	CAMK	+	5	"uc003cms.4;uc003cmt.4;uc003cmu.3;uc010hik.3;uc011azr.2"	5	"uc003cms.4;uc003cmt.4;uc003cmu.3;uc010hik.3;uc011azr.2"	uc010hik.3	8	exons-4-8	start-43%-end-100%	no	yes	1
SPEG	CAMK	+	6	"uc002vlm.3;uc002vln.1;uc002vlp.1;uc002vlq.3;uc010fwg.3;uc010fwh.2"	1	uc010fwg.3	uc010fwg.3	41	exons-20-30	start-48%-end-72%	yes	yes	2
SRC	NRTK	+	2	"uc002xgx.3;uc002xgy.3"	2	"uc002xgx.3;uc002xgy.3"	"uc002xgx.3;uc002xgy.3"	14	exons-8-14	start-54%-end-100%	yes	yes	2
SRMS	NRTK	-	1	uc002yfi.1	1	uc002yfi.1	uc002yfi.1	8	exons-3-8	start-29%-end-100%	yes	yes	2
SRPK1	CMGC	-	4	"uc003olh.3;uc003oli.3;uc003olj.3;uc011dtg.2"	4	"uc003olh.3;uc003oli.3;uc003olj.3;uc011dtg.2"	"uc003olh.3;uc003olj.3;uc011dtg.2"	16	exons-5-16	start-27%-end-100%	yes	yes	2
SRPK2	CMGC	-	5	"uc003vcs.1;uc003vct.4;uc003vcu.4;uc003vcv.4;uc003vcw.1"	4	"uc003vct.4;uc003vcu.4;uc003vcv.4;uc003vcw.1"	uc003vcu.4	17	exons-4-17	start-19%-end-100%	no	yes	1
SRPK3	CMGC	+	5	"uc004fik.3;uc004fil.3;uc004fim.3;uc004fin.3;uc010nul.3"	5	"uc004fik.3;uc004fil.3;uc004fim.3;uc004fin.3;uc010nul.3"	uc004fik.3	21	exons-8-21	start-35%-end-100%	no	yes	1
STK10	STE	-	1	uc003mbo.1	1	uc003mbo.1	uc003mbo.1	19	exons-1-9	start-0%-end-44%	yes	yes	2
STK11	CAMK	+	1	uc002lrl.1	1	uc002lrl.1	uc002lrl.1	10	exons-1-9	start-0%-end-89%	no	yes	1
STK16	OTHER	+	5	"uc002vko.2;uc002vkp.2;uc002vks.2;uc010fwf.3;uc010zky.2"	5	"uc002vko.2;uc002vkp.2;uc002vks.2;uc010fwf.3;uc010zky.2"	"uc002vko.2;uc002vkp.2"	8	exons-2-8	start-14%-end-100%	no	yes	1
STK17A	CAMK	+	1	uc003tih.3	1	uc003tih.3	uc003tih.3	7	exons-1-7	start-0%-end-100%	no	yes	1
STK17B	CAMK	-	2	"uc002utk.3;uc010fsh.3"	2	"uc002utk.3;uc010fsh.3"	"uc002utk.3;uc010fsh.3"	8	exons-2-8	start-14%-end-100%	no	yes	1
STK19	ATYPICAL	+	8	"uc003nyt.3;uc003nyv.3;uc003nyw.3;uc003nza.3;uc003nzb.3;uc010jtn.1;uc011dow.2;uc011dox.1"	0	n.a.	n.a.	n.a.	n.a.	n.a.	no	yes	1
STK24	STE	-	3	"uc001vnm.1;uc001vnn.1;uc010tim.1"	3	"uc001vnm.1;uc001vnn.1;uc010tim.1"	"uc001vnm.1;uc001vnn.1"	11	exons-1-9	start-0%-end-80%	yes	yes	2
STK25	STE	-	11	"uc002wbl.3;uc002wbm.4;uc002wbn.4;uc002wbo.4;uc002wbp.4;uc010fzo.4;uc010zos.3;uc010zot.3;uc010zou.3;uc010zov.3;uc010zow.3"	11	"uc002wbl.3;uc002wbm.4;uc002wbn.4;uc002wbo.4;uc002wbp.4;uc010fzo.4;uc010zos.3;uc010zot.3;uc010zou.3;uc010zov.3;uc010zow.3"	"uc002wbn.4;uc002wbp.4;uc010zot.3"	12	exons-2-11	start-9%-end-91%	no	yes	1
STK3	STE	-	3	"uc003yio.4;uc003yip.4;uc010mbm.2"	3	"uc003yio.4;uc003yip.4;uc010mbm.2"	uc003yio.4	13	exons-3-11	start-17%-end-83%	yes	yes	2
